std,type,big,middle,job,sex,age,money,count,mean_money
14-Sep,내국인 관광객,서귀포시,성산읍,기념품 점,남,40대,7730500,326,23713
14-Sep,내국인 관광객,서귀포시,대륜동,기타음료식품,남,40대,923500,39,23679
14-Sep,내국인 관광객,제주시,이도2동,기타음료식품,여,30대,755700,32,23616
14-Sep,내국인 관광객,제주시,노형동,슈퍼 마켓,남,50대,11262980,478,23563
14-Sep,내국인 관광객,서귀포시,성산읍,스넥,남,40대,1224500,52,23548
14-Sep,내국인 관광객,제주시,연동,의원,여,20대,918000,39,23538
14-Sep,내국인 관광객,제주시,애월읍,스넥,여,50대,1595510,68,23463
14-Sep,내국인 관광객,제주시,연동,슈퍼 마켓,여,50대,5975950,255,23435
14-Sep,내국인 관광객,제주시,애월읍,농축수산품,여,30대,5277000,226,23350
14-Sep,내국인 관광객,서귀포시,남원읍,슈퍼 마켓,여,50대,675870,29,23306
14-Sep,내국인 관광객,서귀포시,남원읍,기념품 점,여,30대,230000,10,23000
14-Sep,내국인 관광객,제주시,용담2동,슈퍼 마켓,여,50대,2853960,125,22832
14-Sep,내국인 관광객,제주시,노형동,기타음료식품,남,30대,1391990,61,22820
14-Sep,내국인 관광객,제주시,연동,기타음료식품,남,50대,409150,18,22731
14-Sep,내국인 관광객,제주시,노형동,슈퍼 마켓,여,40대,10385560,458,22676
14-Sep,내국인 관광객,서귀포시,성산읍,스넥,여,50대,271500,12,22625
14-Sep,내국인 관광객,제주시,노형동,의원,남,30대,4371760,194,22535
14-Sep,내국인 관광객,제주시,연동,의원,남,40대,966400,43,22474
14-Sep,내국인 관광객,제주시,연동,기타음료식품,여,40대,515700,23,22422
14-Sep,내국인 관광객,서귀포시,성산읍,기타음료식품,남,50대,515300,23,22404
14-Sep,내국인 관광객,서귀포시,성산읍,기념품 점,여,40대,4449600,199,22360
14-Sep,내국인 관광객,제주시,노형동,기타음료식품,여,30대,734120,33,22246
14-Sep,내국인 관광객,제주시,연동,약국,여,50대,858810,39,22021
14-Sep,내국인 관광객,제주시,애월읍,슈퍼 마켓,남,40대,10238660,465,22019
14-Sep,내국인 관광객,서귀포시,예래동,기타음료식품,여,50대,547900,25,21916
14-Sep,내국인 관광객,서귀포시,남원읍,기념품 점,남,30대,283000,13,21769
